"","caseid","ideol7b","presvote","retecon","white","female","age","educ1_7","income","partyid","bushiraq","exptrnout2"
"1",3,"Cons","Bush",0.5,1,1,37,6,23,6,1,"Standard"
"2",8,"Moderate","Kerry",0,1,1,56,4,8,1,0,"Standard"
"3",10,"Cons","Bush",0.5,1,1,47,7,23,6,1,"Standard"
"4",14,"Moderate","Bush",0,1,1,33,3,10,5,0.33333334,"Standard"
"5",16,"Moderate","Kerry",-0.5,1,0,39,6,23,2,0,"Standard"
"6",20,"Moderate","Kerry",-1,0,1,33,4,5,0,0.33333334,"Standard"
"7",21,"Slig. Liberal","Bush",0.5,1,1,31,6,19,6,0,"Standard"
"8",23,"Cons","Bush",-0.5,1,0,37,4,18,5,0.33333334,"Standard"
"9",24,"Cons","Bush",1,1,0,27,6,14,6,1,"Standard"
"10",26,"Moderate","Kerry",0,0,1,44,3,14,1,0,"Standard"
"11",29,"Moderate","Kerry",0,0,1,40,3,10,0,0,"Standard"
"12",33,"Slig. Cons","Bush",0.5,1,1,50,6,20,4,0.6666667,"Standard"
"13",38,"Slig. Liberal","Bush",-0.5,1,0,46,6,14,4,0,"Standard"
"14",42,"Moderate","Bush",0,1,0,59,3,6,5,0.33333334,"Standard"
"15",46,"Cons","Bush",0.5,1,1,39,3,20,6,1,"Standard"
"16",55,"Slig. Cons","Bush",0.5,1,0,62,3,20,6,1,"Standard"
"17",57,"Slig. Cons","Bush",0.5,1,0,59,6,23,5,1,"Standard"
"18",58,"Cons","Bush",0.5,1,0,26,3,18,6,1,"Standard"
"19",62,"Moderate","Bush",-0.5,0,0,60,4,18,3,0.6666667,"Standard"
"20",63,"Liberal","Kerry",-1,1,1,41,7,20,0,0,"Standard"
"21",64,"Liberal","Kerry",0.5,1,1,77,3,6,0,0,"Standard"
"22",69,"Cons","Bush",-0.5,1,1,47,3,19,5,1,"Standard"
"23",71,"Moderate","Bush",-0.5,1,0,23,3,7,6,0.6666667,"Standard"
"24",74,"Slig. Cons","Bush",0,1,0,56,6,20,1,0.6666667,"Standard"
"25",77,"Cons","Bush",-0.5,1,1,28,5,15,6,1,"Standard"
"26",80,"Cons","Bush",0.5,1,0,51,6,23,4,0.6666667,"Standard"
"27",85,"Moderate","Bush",0.5,1,0,42,3,19,6,1,"Standard"
"28",86,"Slig. Cons","Bush",-1,1,1,71,3,10,1,0.33333334,"Standard"
"29",90,"Cons","Bush",0,0,0,74,3,11,4,1,"Standard"
"30",92,"Liberal","Kerry",0,1,1,53,6,23,1,0,"Standard"
"31",93,"Cons","Bush",0.5,1,1,67,3,10,6,1,"Standard"
"32",96,"Ext Liberal","Kerry",-1,0,1,32,6,19,0,0,"Standard"
"33",100,"Moderate","Kerry",-1,0,0,64,2,8,2,0,"Standard"
"34",101,"Moderate","Bush",0.5,1,1,44,6,19,6,1,"Standard"
"35",103,"Cons","Bush",0.5,1,1,61,5,18,1,1,"Standard"
"36",104,"Cons","Bush",0.5,1,0,67,7,20,4,0.6666667,"Standard"
"37",105,"Slig. Cons","Bush",0,1,0,75,7,17,6,1,"Standard"
"38",106,"Moderate","Kerry",-1,1,0,70,3,14,0,0,"Standard"
"39",109,"Slig. Cons","Bush",0,1,1,45,3,23,6,1,"Standard"
"40",111,"Liberal","Kerry",0,1,1,47,7,23,2,0,"Standard"
"41",113,"Moderate","Kerry",0,0,1,28,3,15,2,0,"Standard"
"42",117,"Cons","Kerry",-1,0,1,24,4,14,0,0,"Standard"
"43",122,"Slig. Cons","Kerry",-0.5,1,1,73,3,5,0,0,"Standard"
"44",123,"Slig. Cons","Bush",0.5,1,0,61,7,23,6,0.6666667,"Standard"
"45",124,"Slig. Liberal","Bush",0.5,1,0,55,3,19,5,1,"Standard"
"46",127,"Slig. Cons","Bush",0,1,0,21,4,20,5,0.6666667,"Standard"
"47",134,"Cons","Bush",1,1,1,24,4,16,6,0.6666667,"Standard"
"48",138,"Slig. Cons","Bush",0.5,1,0,73,6,20,5,0,"Standard"
"49",139,"Moderate","Bush",1,1,0,21,3,10,6,1,"Standard"
"50",142,"Moderate","Kerry",-1,1,1,77,3,9,0,0.6666667,"Standard"
"51",144,"Slig. Cons","Kerry",-0.5,1,0,52,6,23,2,0,"Standard"
"52",145,"Slig. Liberal","Kerry",-0.5,1,1,67,3,16,2,0,"Standard"
"53",148,"Ext Cons.","Bush",0.5,1,0,46,5,18,6,1,"Standard"
"54",152,"Slig. Liberal","Kerry",-0.5,1,0,23,4,10,2,0,"Standard"
"55",157,"Moderate","Kerry",-1,1,1,68,3,13,1,0,"Standard"
"56",159,"Liberal","Kerry",-0.5,1,1,29,6,20,0,0,"Standard"
"57",165,"Cons","Bush",0,1,1,58,5,23,6,0.6666667,"Standard"
"58",167,"Cons","Bush",0.5,1,1,49,6,10,6,1,"Standard"
"59",168,"Moderate","Kerry",-0.5,1,1,29,2,11,1,0,"Standard"
"60",169,"Moderate","Kerry",-1,0,1,58,7,15,0,0,"Standard"
"61",172,"Cons","Bush",0,1,0,34,5,19,5,0,"Standard"
"62",173,"Ext Liberal","Kerry",-0.5,0,0,23,5,21,2,0,"Standard"
"63",174,"Moderate","Kerry",0,0,0,62,3,6,0,0,"Standard"
"64",176,"Cons","Bush",0,1,0,19,3,18,5,0.6666667,"Standard"
"65",182,"Cons","Bush",0,1,1,36,7,22,6,0.6666667,"Standard"
"66",184,"Slig. Cons","Kerry",0,0,0,44,4,17,3,0,"Standard"
"67",186,"Moderate","Kerry",-1,1,1,63,2,2,1,0,"Standard"
"68",187,"Moderate","Bush",0.5,1,0,37,6,23,4,1,"Standard"
"69",190,"Slig. Cons","Bush",0.5,1,0,38,2,17,5,1,"Standard"
"70",195,"Moderate","Bush",-1,0,0,55,3,15,3,0,"Standard"
"71",205,"Moderate","Kerry",-0.5,1,1,20,4,23,2,0.6666667,"Standard"
"72",211,"Slig. Cons","Kerry",0,1,1,53,4,21,5,0.33333334,"Standard"
"73",213,"Slig. Cons","Bush",-0.5,1,0,30,4,19,2,0,"Standard"
"74",217,"Moderate","Kerry",-1,1,1,73,4,13,0,0,"Standard"
"75",218,"Moderate","Bush",0,1,1,41,3,12,5,0.6666667,"Standard"
"76",219,"Ext Liberal","Kerry",0,1,0,62,7,22,1,0,"Standard"
"77",228,"Moderate","Bush",-0.5,1,1,38,4,20,6,0,"Standard"
"78",234,"Cons","Bush",0.5,1,0,44,3,18,5,1,"Standard"
